baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
AK7	274.347407193162	-1.21579071009035	0.256947484554095	-4.73167002276837	2.22680189720853e-06	0.000885710454614692	SENS23_vs_SENS24	AK7	AK7	0.430537047093731
AMOT	978.608800330949	1.13760077481909	0.282669628421722	4.02448887477177	5.70991931854074e-05	0.0105881021638529	SENS23_vs_SENS24	AMOT	AMOT	2.20014830546818
ANKRD1	230.727888831743	-2.29186401513461	0.53769261616201	-4.26240559428486	2.02237945980324e-05	0.00508043008507415	SENS23_vs_SENS24	ANKRD1	ANKRD1	0.204211495340717
AOX1	354.442347283573	1.03678461198308	0.245333524506719	4.22602094054492	2.37859866497013e-05	0.00587226797994954	SENS23_vs_SENS24	AOX1	AOX1	2.05164996550263
ARF6	8360.7474006321	1.31952166954249	0.328303567716542	4.0192120930034	5.83930884755999e-05	0.0105881021638529	SENS23_vs_SENS24	ARF6	ARF6	2.49583345851852
ARMCX1	163.009110830325	1.33021503363434	0.30171551193662	4.40883872723712	1.03926376832031e-05	0.00295361339848512	SENS23_vs_SENS24	ARMCX1	ARMCX1	2.51440149255049
AXL	2194.56928556595	-1.07360773970103	0.289554414724203	-3.70779268112223	0.000209073709493077	0.0302396610730441	SENS23_vs_SENS24	AXL	AXL	0.475129358755746
BDNF	43.9936181862707	-2.64915086499608	0.574476484524029	-4.61141741457178	3.99932544373363e-06	0.00146836771868774	SENS23_vs_SENS24	BDNF	BDNF	0.159413877916456
BEX2	656.374655675495	1.00349143991073	0.212027473783501	4.73283684422606	2.2140345298742e-06	0.000885710454614692	SENS23_vs_SENS24	BEX2	BEX2	2.00484602498351
BMP4	67.7570910746664	-5.71901936411641	0.707210896697044	-8.08672404628732	6.12909183606215e-16	2.19406165001435e-12	SENS23_vs_SENS24	BMP4	BMP4	0.0189846950557604
BMP5	272.648412507249	-1.90440774943546	0.290699901631079	-6.55111246598321	5.71100264261683e-11	6.29044975689464e-08	SENS23_vs_SENS24	BMP5	BMP5	0.267125989215159
C16orf62	391.577481394995	1.03045816224308	0.279731676812114	3.68373783758215	0.000229838629851699	0.0319187176543123	SENS23_vs_SENS24	C16orf62	C16orf62	2.04267284793568
C4orf32	85.2810645897618	-1.72563958040646	0.428134488982046	-4.03060165629129	5.56342607804995e-05	0.0104819339488944	SENS23_vs_SENS24	C4orf32	C4orf32	0.302364447366359
CALB1	62.9269613268554	3.05198278526178	0.680812491491525	4.48285368350908	7.36514309567576e-06	0.00234358853304403	SENS23_vs_SENS24	CALB1	CALB1	8.29350984652782
CDKL1	552.014354114253	1.27047474654701	0.326630030741776	3.88964463451742	0.000100391121974142	0.0169117703005616	SENS23_vs_SENS24	CDKL1	CDKL1	2.4124093744767
CDO1	73.5422514200354	2.73519391695641	0.434249059266241	6.29867551487185	3.00199675675816e-10	2.68659947250125e-07	SENS23_vs_SENS24	CDO1	CDO1	6.65848480440802
CETP	137.797627137805	1.57537131848092	0.427910794208288	3.68154143294199	0.000231828105038654	0.0319187176543123	SENS23_vs_SENS24	CETP	CETP	2.98012184641474
CHN1	92.794921455072	-1.96589607285117	0.541194145875542	-3.63251540659361	0.000280671812501446	0.0372124044741501	SENS23_vs_SENS24	CHN1	CHN1	0.255980164437466
CNTNAP2	25.1742961841071	-3.95933458356862	1.10611282025101	-3.57950338435652	0.000344247790360657	0.0444079649565247	SENS23_vs_SENS24	CNTNAP2	CNTNAP2	0.0642867584085582
COPZ2	208.222632010843	1.276643834948	0.344838711592818	3.70214767666643	0.000213782117264002	0.0306114613710324	SENS23_vs_SENS24	COPZ2	COPZ2	2.42274713180711
CPE	1361.2556124751	-5.20773744647214	0.23311905016688	-22.3393902932607	1.53118839824896e-110	2.19250866745268e-106	SENS23_vs_SENS24	CPE	CPE	0.0270591916790241
CYP24A1	261.212702410734	2.4228067852318	0.369245873206022	6.5614999680172	5.32691868390084e-11	6.29044975689464e-08	SENS23_vs_SENS24	CYP24A1	CYP24A1	5.36213218785799
DIO2	77.6998069975801	-2.55719872533001	0.656899741685275	-3.89282954925438	9.90817699598934e-05	0.0168899031435204	SENS23_vs_SENS24	DIO2	DIO2	0.169905124891667
DKK3	170.955415627199	2.13607932670594	0.430702367086394	4.95952539373314	7.06656105872064e-07	0.000326038609168749	SENS23_vs_SENS24	DKK3	DKK3	4.39565855931164
DUSP9	271.571234059734	1.44932891082265	0.394459503582569	3.67421471065984	0.000238582049105133	0.0322288335956264	SENS23_vs_SENS24	DUSP9	DUSP9	2.73080994471444
ECHDC3	29.9031473382056	2.46370987084671	0.604638587597538	4.07468183702264	4.60772984882172e-05	0.0093355665976848	SENS23_vs_SENS24	ECHDC3	ECHDC3	5.51633422877999
EFCAB1	31.9678997572089	-3.9188111450698	0.673939411353948	-5.81478257399562	6.07127467473831e-09	4.34672910337889e-06	SENS23_vs_SENS24	EFCAB1	EFCAB1	0.0661180897994556
EFHC2	28.165793105632	-3.82746808952485	0.767101151820907	-4.98952202123461	6.05288742705935e-07	0.000309540339528796	SENS23_vs_SENS24	EFHC2	EFHC2	0.0704396675533456
EPGN	1314.40907539831	1.11712166159079	0.299447592953033	3.73060825293062	0.000191018045070807	0.028197808117205	SENS23_vs_SENS24	EPGN	EPGN	2.16913773203231
EPHX2	164.19903737516	1.07357398141593	0.288087523566044	3.72655493069213	0.000194114782967238	0.0283625467072233	SENS23_vs_SENS24	EPHX2	EPHX2	2.10464073075242
FAM171B	135.471700620202	-1.41392220827461	0.339992955565782	-4.15868089361352	3.20090693120452e-05	0.0072257686321271	SENS23_vs_SENS24	FAM171B	FAM171B	0.375290009888856
