baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
A1BG-AS1	7.70998497137017	3.0624157432626	0.936380013615323	3.27048388339552	0.00107363659827234	0.00790214915745193	SENS_vs_RESIST	A1BG-AS1	A1BG-AS1	8.35370236957374
AAAS	699.197265852392	1.08402450612352	0.323585932227702	3.35003595076162	0.000808010725076862	0.00625281869377447	SENS_vs_RESIST	AAAS	AAAS	2.11994157655922
AAMDC	109.983122622506	1.01287639274899	0.239193468329658	4.23454870997161	2.29011143169311e-05	0.000293518040740182	SENS_vs_RESIST	AAMDC	AAMDC	2.01793036800917
AARD	36.7061287788036	3.44911085140858	0.665813410834513	5.18029645435582	2.21533543298757e-07	4.61302735772361e-06	SENS_vs_RESIST	AARD	AARD	10.921588885774
AASS	16.3710159685977	-1.83598163399426	0.592936610736844	-3.0964214399119	0.00195871756267654	0.0128284635247407	SENS_vs_RESIST	AASS	AASS	0.280100869306576
ABCA1	294.052672711442	1.62259206981095	0.497967574517202	3.2584291685741	0.00112030839439002	0.00813491015571492	SENS_vs_RESIST	ABCA1	ABCA1	3.07927789058385
ABCA13	613.304000215252	1.84078387076328	0.434834590869207	4.23329677403002	2.30290286189979e-05	0.00029492653474737	SENS_vs_RESIST	ABCA13	ABCA13	3.58204601610491
ABCA5	911.53397866346	-2.03906759675468	0.370800002944805	-5.49910350744577	3.81727019434339e-08	9.28339691988384e-07	SENS_vs_RESIST	ABCA5	ABCA5	0.243320942591383
ABCB1	5722.26017532343	2.20272602519855	0.450961328370418	4.88451201161365	1.03685322184321e-06	1.87723193383936e-05	SENS_vs_RESIST	ABCB1	ABCB1	4.60348365837108
ABCB4	5.90988134643712	2.45858311173797	0.947518085941577	2.59476114304964	0.00946566753301815	0.0450493109953207	SENS_vs_RESIST	ABCB4	ABCB4	5.49676618015565
ABCC6	15.9059694026888	4.18766712366497	0.869826820696368	4.81436881920058	1.47665866040191e-06	2.58210174089723e-05	SENS_vs_RESIST	ABCC6	ABCC6	18.2227289784075
ABCC6P1	4.18800957620398	5.08440807181936	1.484919823975	3.42402868473318	0.0006170010790805	0.00496238656575456	SENS_vs_RESIST	ABCC6P1	ABCC6P1	33.9280844002638
ABCG1	76.5468099335835	2.95360397761312	0.65614744184517	4.50143335057013	6.74967311225331e-06	9.97038807114169e-05	SENS_vs_RESIST	ABCG1	ABCG1	7.746818706234
ABCG2	151.867641107858	2.93660416558303	0.440937661183088	6.65990779218945	2.73999433197228e-11	1.24570797864973e-09	SENS_vs_RESIST	ABCG2	ABCG2	7.65607076966415
ABHD6	140.12504287308	2.14166749035023	0.26280352074545	8.14931049734542	3.66005091089458e-16	3.34659515411238e-14	SENS_vs_RESIST	ABHD6	ABHD6	4.41271780802463
ABLIM2	23.8126750729897	-1.24531219293259	0.427753305572036	-2.91128596018032	0.00359944425806872	0.0210172738446329	SENS_vs_RESIST	ABLIM2	ABLIM2	0.421816608908383
AC003665.1	56.5566754864191	-1.19947400580112	0.404887187647874	-2.96248941036952	0.00305162306208483	0.0183692220143959	SENS_vs_RESIST	AC003665.1	AC003665.1	0.435434008204027
AC005592.2	13.4855465067373	-1.01212673665808	0.392684279038236	-2.57745672716257	0.00995303427437894	0.046905071111074	SENS_vs_RESIST	AC005592.2	AC005592.2	0.495814807534607
AC006262.5	96.2678550989316	-1.50153367154265	0.558362610776717	-2.68917302584772	0.00716292811700159	0.0361169576373891	SENS_vs_RESIST	AC006262.5	AC006262.5	0.353177741792504
AC007246.3	19.9323758459057	-1.93729884269929	0.61881007058489	-3.13068408997963	0.00174399655184313	0.0116696613099005	SENS_vs_RESIST	AC007246.3	AC007246.3	0.261104849339925
AC011738.4	44.227300264263	2.98270783338205	0.397446408284693	7.50467930067572	6.15791705832635e-14	4.36305751054664e-12	SENS_vs_RESIST	AC011738.4	AC011738.4	7.90468423698211
AC016582.2	13.658112359023	1.81615755250625	0.52884660819717	3.43418587612295	0.000594336489642396	0.00482275920970604	SENS_vs_RESIST	AC016582.2	AC016582.2	3.52142059729983
AC016629.8	77.50608970368	1.0242031558622	0.205940556331489	4.97329508139043	6.58243488858775e-07	1.23548981446692e-05	SENS_vs_RESIST	AC016629.8	AC016629.8	2.03383572488852
AC018742.1	88.2159440885379	5.85034652138202	0.601400611531067	9.7278692592081	2.2934654114108e-22	4.03625251489899e-20	SENS_vs_RESIST	AC018742.1	AC018742.1	57.6938854557553
AC020571.3	27.8779281055727	-1.23662192424346	0.440528112039965	-2.8071350963665	0.00499842743169024	0.0274924306154063	SENS_vs_RESIST	AC020571.3	AC020571.3	0.424365146322625
AC074286.1	24.7567624095627	-1.42370531055615	0.484419518165851	-2.93899245832765	0.00329281086343752	0.0195549475333389	SENS_vs_RESIST	AC074286.1	AC074286.1	0.372753728777454
AC093375.1	35.7914408968622	-1.53077095226058	0.549803722119325	-2.78421351234206	0.00536576995505472	0.029003266869089	SENS_vs_RESIST	AC093375.1	AC093375.1	0.34609237158957
AC099342.1	6.62489492824449	-1.52614810206589	0.592584386750473	-2.57541058487004	0.0100121156611255	0.0471092595237849	SENS_vs_RESIST	AC099342.1	AC099342.1	0.347203139442445
ACACB	98.4825948755883	1.64162989863831	0.240636801552723	6.82202343135213	8.97670199435539e-12	4.43872149672552e-10	SENS_vs_RESIST	ACACB	ACACB	3.12018138317331
ACE2	134.313231119383	-1.13383701220522	0.268542365971485	-4.22219044694653	2.41939546408597e-05	0.000308637923310172	SENS_vs_RESIST	ACE2	ACE2	0.455702120143595
ACKR3	33.0653145833968	2.89444849543806	0.643571981361098	4.49747437624081	6.87654454371844e-06	0.000101486388229973	SENS_vs_RESIST	ACKR3	ACKR3	7.43559656354916
ACOX3	63.0695189445817	-1.39135938939452	0.258519246604046	-5.38203405615504	7.36488261540679e-08	1.68824977263814e-06	SENS_vs_RESIST	ACOX3	ACOX3	0.381205439495082
ACOXL	92.970247916268	2.06143363832775	0.489490351977979	4.21138768108037	2.53806740704322e-05	0.0003215212790331	SENS_vs_RESIST	ACOXL	ACOXL	4.17400878904788
ACSBG1	4.90820515034141	2.43536036408368	0.948601147340541	2.56731754005501	0.010248871098517	0.0480226948953415	SENS_vs_RESIST	ACSBG1	ACSBG1	5.40899425090004
ACSS1	239.686720348681	3.08840760046419	0.339059527869299	9.10874742223646	8.33385468863438e-20	1.17586379042137e-17	SENS_vs_RESIST	ACSS1	ACSS1	8.50556810903494
ACTA2	6.13273779157596	-1.9250873772548	0.647287420261011	-2.97408433563954	0.00293864295893144	0.0178532922452973	SENS_vs_RESIST	ACTA2	ACTA2	0.263324310190475
ACTBL2	29.8488554364158	-1.26272075634814	0.386782974861324	-3.26467512382332	0.00109589693948895	0.00802171073730577	SENS_vs_RESIST	ACTBL2	ACTBL2	0.416757262037874
ACVR1C	165.007200384015	1.15320434022612	0.318611341715621	3.61947046208865	0.000295206504479302	0.00269022542250152	SENS_vs_RESIST	ACVR1C	ACVR1C	2.22407330569123
